Project name:,UVEX Dichroic Coating,,,,,UVEX Dichroic Coating,,,,
Coating design:,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,
AOI:,20° 25° 30° 35° 40°,,,,,20° 25° 30° 35° 40°,,,,
,,,,,,,,,,
wl(nm),%R,,,,,%T,,,,
,20°,25°,30°,35°,40°,20°,25°,30°,35°,40°
406,11.51,7.87,4.48,4.56,8.34,88.14,91.77,95.13,95.04,91.28
407,10.98,7.31,4.24,4.80,8.68,88.67,92.32,95.37,94.81,90.94
408,10.43,6.78,4.06,5.07,9.00,89.22,92.86,95.55,94.54,90.62
409,9.87,6.27,3.94,5.37,9.31,89.79,93.36,95.68,94.25,90.32
410,9.30,5.81,3.87,5.69,9.59,90.36,93.83,95.75,93.93,90.04
411,8.72,5.38,3.86,6.02,9.85,90.93,94.26,95.76,93.60,89.78
412,8.15,4.99,3.90,6.37,10.08,91.50,94.64,95.72,93.25,89.56
413,7.60,4.66,3.99,6.72,10.28,92.05,94.98,95.63,92.91,89.36
414,7.06,4.37,4.13,7.08,10.45,92.59,95.26,95.50,92.56,89.19
415,6.55,4.14,4.31,7.43,10.60,93.10,95.50,95.32,92.21,89.04
416,6.07,3.96,4.53,7.77,10.71,93.58,95.67,95.11,91.87,88.93
417,5.62,3.84,4.78,8.10,10.80,94.03,95.80,94.86,91.54,88.85
418,5.21,3.77,5.05,8.42,10.85,94.44,95.87,94.59,91.23,88.79
419,4.85,3.76,5.35,8.72,10.88,94.80,95.89,94.29,90.94,88.77
420,4.53,3.79,5.67,8.99,10.88,95.12,95.86,93.98,90.66,88.77
421,4.27,3.87,6.00,9.25,10.85,95.39,95.78,93.66,90.41,88.80
422,4.05,4.00,6.33,9.48,10.80,95.61,95.66,93.32,90.18,88.85
423,3.89,4.16,6.67,9.69,10.73,95.77,95.49,92.99,89.97,88.93
424,3.78,4.36,7.01,9.87,10.63,95.88,95.29,92.65,89.80,89.03
425,3.71,4.60,7.34,10.02,10.51,95.95,95.06,92.33,89.65,89.15
426,3.70,4.86,7.66,10.15,10.37,95.96,94.81,92.01,89.52,89.29
427,3.74,5.14,7.97,10.24,10.21,95.92,94.53,91.70,89.43,89.45
428,3.82,5.44,8.27,10.31,10.03,95.84,94.23,91.41,89.36,89.63
429,3.95,5.75,8.54,10.36,9.84,95.72,93.92,91.13,89.32,89.82
