"46 layers, 1.45 microns total thickness",,
,,
nm,R,T
463.5,0.073231,0.92635
464,0.073187,0.926396
464.5,0.073175,0.926409
465,0.073195,0.92639
465.5,0.073247,0.926339
466,0.07333,0.926257
466.5,0.073443,0.926145
467,0.073586,0.926003
467.5,0.073758,0.925832
468,0.073958,0.925633
468.5,0.074185,0.925407
469,0.074439,0.925155
469.5,0.074717,0.924878
470,0.075019,0.924577
470.5,0.075343,0.924254
471,0.075689,0.923909
471.5,0.076055,0.923545
472,0.076439,0.923162
472.5,0.07684,0.922762
473,0.077257,0.922346
473.5,0.077688,0.921917
474,0.078132,0.921475
474.5,0.078586,0.921021
475,0.07905,0.920559
475.5,0.079522,0.920088
476,0.08,0.919611
476.5,0.080483,0.919129
477,0.080969,0.918644
477.5,0.081457,0.918157
478,0.081946,0.91767
478.5,0.082433,0.917184
479,0.082917,0.916701
479.5,0.083397,0.916222
480,0.083872,0.915749
480.5,0.084339,0.915282
481,0.084799,0.914824
481.5,0.085249,0.914375
482,0.085688,0.913937
482.5,0.086116,0.913511
483,0.08653,0.913097
483.5,0.086931,0.912698
484,0.087316,0.912314
484.5,0.087685,0.911945
485,0.088038,0.911594
485.5,0.088373,0.91126
486,0.088689,0.910945
486.5,0.088986,0.910649
487,0.089263,0.910373
487.5,0.089519,0.910118
488,0.089754,0.909883
488.5,0.089968,0.90967
489,0.09016,0.90948
489.5,0.090329,0.909312
490,0.090475,0.909166
490.5,0.090599,0.909044
491,0.090699,0.908945
491.5,0.090775,0.908869
492,0.090828,0.908817
492.5,0.090858,0.908788
493,0.090864,0.908783
493.5,0.090846,0.908802
494,0.090805,0.908843
494.5,0.090741,0.908908
495,0.090654,0.908996
495.5,0.090544,0.909106
496,0.090412,0.909239
496.5,0.090258,0.909394
497,0.090082,0.909571
497.5,0.089885,0.909768
498,0.089668,0.909987
498.5,0.08943,0.910225
499,0.089172,0.910483
499.5,0.088896,0.91076
500,0.088601,0.911056
500.5,0.0883,0.911358
501,0.087982,0.911677
501.5,0.087647,0.912012
502,0.087298,0.912362
502.5,0.086934,0.912726
503,0.086557,0.913104
503.5,0.086166,0.913495
504,0.085764,0.913898
504.5,0.085351,0.914312
505,0.084927,0.914736
505.5,0.084495,0.915169
506,0.084053,0.915611
506.5,0.083605,0.91606
507,0.08315,0.916516
507.5,0.082689,0.916977
508,0.082224,0.917443
508.5,0.081755,0.917913
509,0.081283,0.918385
509.5,0.08081,0.918859
510,0.080336,0.919333
510.5,0.079862,0.919808
511,0.079389,0.920281
511.5,0.078919,0.920752
512,0.078451,0.92122
512.5,0.077988,0.921684
513,0.07753,0.922143
513.5,0.077077,0.922596
514,0.076631,0.923042
514.5,0.076193,0.923481
515,0.075764,0.923911
515.5,0.075344,0.924331
516,0.074934,0.924741
516.5,0.074535,0.925141
517,0.074148,0.925529
517.5,0.073773,0.925904
518,0.073411,0.926267
518.5,0.073063,0.926615
519,0.07273,0.926949
519.5,0.072411,0.927269
520,0.072108,0.927572
520.5,0.071821,0.92786
521,0.071551,0.928131
521.5,0.071298,0.928384
522,0.071062,0.92862
522.5,0.070845,0.928839
523,0.070645,0.929038
523.5,0.070465,0.92922
524,0.070303,0.929382
524.5,0.070161,0.929525
525,0.070038,0.929648
525.5,0.069934,0.929753
526,0.06985,0.929837
526.5,0.069786,0.929902
527,0.069742,0.929947
527.5,0.069717,0.929972
528,0.069712,0.929978
528.5,0.069727,0.929963
529,0.069762,0.929929
529.5,0.069816,0.929876
530,0.069889,0.929803
530.5,0.069982,0.929711
531,0.070093,0.929601
531.5,0.070223,0.929472
532,0.070371,0.929324
532.5,0.070537,0.929159
533,0.070721,0.928976
533.5,0.070922,0.928776
534,0.071139,0.928559
534.5,0.071373,0.928326
535,0.071623,0.928077
535.5,0.071888,0.927812
536,0.072168,0.927533
536.5,0.072462,0.927239
537,0.07277,0.926932
537.5,0.073091,0.926612
538,0.073425,0.926279
538.5,0.07377,0.925934
539,0.074127,0.925578
539.5,0.074495,0.925211
540,0.074872,0.924834
540.5,0.07526,0.924448
541,0.075656,0.924052
541.5,0.07606,0.923649
542,0.076472,0.923238
542.5,0.07689,0.92282
543,0.077315,0.922396
543.5,0.077746,0.921966
544,0.078181,0.921531
544.5,0.078621,0.921093
545,0.079064,0.92065
545.5,0.07951,0.920205
546,0.079958,0.919757
546.5,0.080408,0.919308
547,0.080859,0.918858
547.5,0.08131,0.918408
548,0.081761,0.917957
548.5,0.082211,0.917508
549,0.08266,0.91706
549.5,0.083106,0.916614
550,0.08355,0.916171
550.5,0.083991,0.915731
551,0.084428,0.915295
551.5,0.08486,0.914863
552,0.085288,0.914435
552.5,0.085711,0.914013
553,0.086128,0.913597
553.5,0.086539,0.913187
554,0.086943,0.912783
554.5,0.08734,0.912387
555,0.087729,0.911998
555.5,0.088111,0.911618
556,0.088484,0.911245
556.5,0.088848,0.910882
557,0.089203,0.910527
557.5,0.089549,0.910182
558,0.089885,0.909847
558.5,0.090211,0.909521
559,0.090527,0.909206
559.5,0.090832,0.908902
560,0.091126,0.908608
560.5,0.091409,0.908326
561,0.09168,0.908055
561.5,0.091941,0.907795
562,0.092189,0.907547
562.5,0.092426,0.907311
563,0.09265,0.907087
563.5,0.092863,0.906875
564,0.093063,0.906675
564.5,0.093251,0.906488
565,0.093427,0.906313
565.5,0.09359,0.906151
566,0.09374,0.906001
566.5,0.093878,0.905864
567,0.094003,0.905739
567.5,0.094115,0.905627
568,0.094215,0.905527
568.5,0.094303,0.90544
569,0.094378,0.905366
569.5,0.09444,0.905304
570,0.09449,0.905255
570.5,0.094528,0.905218
571,0.094553,0.905193
571.5,0.094566,0.90518
572,0.094567,0.905179
572.5,0.094557,0.905191
573,0.094534,0.905213
573.5,0.0945,0.905248
574,0.094455,0.905294
574.5,0.094398,0.90535
575,0.094331,0.905418
575.5,0.094253,0.905496
576,0.094165,0.905585
576.5,0.094066,0.905685
577,0.093957,0.905795
577.5,0.093837,0.905914
578,0.093708,0.906043
578.5,0.09357,0.906182
579,0.093422,0.90633
579.5,0.093266,0.906487
580,0.093101,0.906653
580.5,0.092927,0.906827
581,0.092745,0.907009
581.5,0.092556,0.907199
582,0.092359,0.907396
582.5,0.092154,0.907601
583,0.091943,0.907813
583.5,0.091725,0.908031
584,0.091501,0.908255
584.5,0.091271,0.908486
585,0.091035,0.908722
585.5,0.090794,0.908964
586,0.090548,0.90921
586.5,0.090297,0.909461
587,0.090042,0.909717
587.5,0.089783,0.909976
588,0.08952,0.910239
588.5,0.089254,0.910506
589,0.088985,0.910775
589.5,0.088713,0.911047
590,0.088439,0.911322
590.5,0.088163,0.911598
591,0.087885,0.911877
591.5,0.087606,0.912156
592,0.087326,0.912437
592.5,0.087045,0.912718
593,0.086763,0.913
593.5,0.086482,0.913281
594,0.086201,0.913563
594.5,0.08592,0.913844
595,0.085641,0.914124
595.5,0.085362,0.914403
596,0.085085,0.91468
596.5,0.08481,0.914955
597,0.084537,0.915229
597.5,0.084266,0.9155
598,0.083998,0.915769
598.5,0.083733,0.916034
599,0.083471,0.916296
599.5,0.083212,0.916555
600,0.082957,0.91681
600.5,0.082706,0.917062
601,0.08246,0.917309
601.5,0.082217,0.917551
602,0.08198,0.917789
602.5,0.081747,0.918022
603,0.08152,0.91825
603.5,0.081298,0.918472
604,0.081081,0.918689
604.5,0.08087,0.918901
605,0.080665,0.919106
605.5,0.080466,0.919306
606,0.080273,0.919499
606.5,0.080086,0.919686
607,0.079906,0.919866
607.5,0.079733,0.92004
608,0.079566,0.920207
608.5,0.079406,0.920367
609,0.079254,0.92052
609.5,0.079108,0.920666
610,0.078969,0.920805
610.5,0.078838,0.920937
611,0.078714,0.921061
611.5,0.078598,0.921178
612,0.078489,0.921287
612.5,0.078387,0.921389
613,0.078293,0.921483
613.5,0.078207,0.92157
614,0.078128,0.921649
614.5,0.078057,0.921721
615,0.077993,0.921785
615.5,0.077937,0.921841
616,0.077889,0.92189
616.5,0.077848,0.921931
617,0.077814,0.921965
617.5,0.077788,0.921991
618,0.07777,0.92201
618.5,0.077759,0.922022
619,0.077755,0.922026
619.5,0.077759,0.922023
620,0.077769,0.922012
620.5,0.077787,0.921995
621,0.077812,0.921971
621.5,0.077843,0.921939
622,0.077882,0.921901
622.5,0.077927,0.921857
623,0.077979,0.921805
623.5,0.078037,0.921748
624,0.078101,0.921683
624.5,0.078172,0.921613
625,0.078249,0.921537
625.5,0.078331,0.921455
626,0.07842,0.921367
626.5,0.078514,0.921273
627,0.078613,0.921174
627.5,0.078718,0.92107
628,0.078828,0.92096
628.5,0.078943,0.920845
629,0.079062,0.920726
629.5,0.079187,0.920602
630,0.079315,0.920474
630.5,0.079448,0.920341
631,0.079586,0.920204
631.5,0.079727,0.920064
632,0.079871,0.919919
632.5,0.08002,0.919772
633,0.080171,0.91962
633.5,0.080326,0.919466
634,0.080484,0.919308
634.5,0.080644,0.919148
635,0.080807,0.918986
635.5,0.080973,0.91882
636,0.081141,0.918653
636.5,0.08131,0.918484
637,0.081482,0.918312
637.5,0.081655,0.91814
638,0.08183,0.917965
638.5,0.082006,0.91779
639,0.082183,0.917613
639.5,0.082361,0.917435
640,0.08254,0.917257
640.5,0.082719,0.917078
641,0.082898,0.916899
641.5,0.083078,0.91672
642,0.083258,0.916541
642.5,0.083437,0.916362
643,0.083616,0.916183
643.5,0.083795,0.916005
644,0.083972,0.915827
644.5,0.084149,0.915651
645,0.084325,0.915475
645.5,0.0845,0.915301
646,0.084673,0.915128
646.5,0.084845,0.914956
647,0.085015,0.914787
647.5,0.085183,0.914619
648,0.08535,0.914453
648.5,0.085514,0.914289
649,0.085676,0.914127
649.5,0.085835,0.913968
650,0.085992,0.913812
650.5,0.086146,0.913658
651,0.086297,0.913507
651.5,0.086445,0.913359
652,0.086591,0.913214
652.5,0.086733,0.913073
653,0.086872,0.912934
653.5,0.087007,0.912799
654,0.08714,0.912667
654.5,0.087268,0.912539
