# date_modified : 2026-05-21
# orig_filename: 135_180nm_UVEX_Dichroic_vs_AOI.csv
# wavelength_unit: um
wavelength    reflection    transmission
0.9750        0.061480      0.937820
0.9760        0.061480      0.937820
0.9770        0.061540      0.937800
0.9780        0.061560      0.937800
0.9790        0.061580      0.937720
0.9800        0.061580      0.937720
0.9810        0.061640      0.937720
0.9820        0.061660      0.937700
0.9830        0.061660      0.937640
0.9840        0.061660      0.937640
0.9850        0.061720      0.937620
0.9860        0.061760      0.937620
0.9870        0.061760      0.937580
0.9880        0.061760      0.937540
0.9890        0.061800      0.937540
0.9900        0.061840      0.937540
0.9910        0.061860      0.937520
0.9920        0.061860      0.937440
0.9930        0.061880      0.937440
0.9940        0.061920      0.937440
0.9950        0.061940      0.937440
0.9960        0.061940      0.937380
0.9970        0.061980      0.937360
0.9980        0.062000      0.937360
0.9990        0.062020      0.937360
1.0000        0.062040      0.937300
